POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
401-06340,-,0,Grey,SS,N,N,SFMTA,ON,0,634,ELLIS ST,5177000,Area 3, ,"(37.78436, -122.41724)"
104-03190,-,0,Grey,SS,N,Y,SFMTA,ON,0,319,04TH AVE,241000,Area 3, ,"(37.78263, -122.46232)"
352-04350,-,0,Grey,SS,N,N,SFMTA,ON,0,435,CASTRO ST,3790000,Area 3, ,"(37.7614, -122.43495)"
116-03980,-,0,Grey,SS,N,N,SFMTA,ON,0,398,16TH AVE,672000,Area 3, ,"(37.7808, -122.47505)"
224-27570,-,0,Grey,SS,N,N,SFMTA,ON,0,2757,24TH ST,1331000,Area 3, ,"(37.75283, -122.40763)"
440-46210,-,0,Grey,SS,N,Y,SFMTA,ON,0,4621,GEARY BLVD,6066101,Area 3, ,"(37.78065, -122.46935)"
591-26660,-,0,Grey,SS,N,N,SFMTA,ON,0,2666,OCEAN AVE,9849000,Area 3, ,"(37.73245, -122.47472)"
469-15390,-,0,Grey,SS,N,N,SFMTA,ON,0,1539,HOLLOWAY AVE,6996101,Area 3, ,"(37.72076, -122.47568)"
600-07330,-,0,Grey,SS,N,N,SFMTA,ON,0,733,PACIFIC AVE,10128000,Area 2, ,"(37.79673, -122.4079)"
700-16550,-,0,Grey,SS,N,N,SFMTA,ON,0,1655,VALENCIA ST,13077000,Area 3, ,"(37.74656, -122.42002)"
700-00270,-,0,Grey,SS,N,N,SFMTA,ON,0,27,VALENCIA ST,13052101,Area 3, ,"(37.77176, -122.42243)"
336-13080,-,0,Grey,SS,N,N,SFMTA,ON,0,1308,BUSH ST,3443000,Area 3, ,"(37.78892, -122.41904)"
680-15220,-,0,Grey,SS,N,N,SFMTA,ON,0,1522,TARAVAL ST,12401000,Area 3, ,"(37.74281, -122.48295)"
118-03850,-,0,Grey,SS,N,N,SFMTA,ON,0,385,18TH AVE,829000,Area 3, ,"(37.78089, -122.47734)"
108-02940,-,0,Yellow,SS,N,N,SFMTA,ON,0,294,08TH AVE,388000,Area 3, ,"(37.78305, -122.46651)"
123-12970,-,0,Grey,SS,N,N,SFMTA,ON,0,1297,23RD AVE,1218000,Area 3, ,"(37.76351, -122.48151)"
490-20390,-,0,Grey,SS,N,N,SFMTA,ON,0,2039,IRVING ST,7298000,Area 3, ,"(37.76335, -122.48015)"
206-00170,-,0,Grey,SS,N,N,SFMTA,ON,0,17,06TH ST,326000,Area 1, ,"(37.7819, -122.40972)"
384-06120,-,0,Grey,SS,N,N,SFMTA,ON,0,612,DIVISADERO ST,4803201,Area 3, ,"(37.77542, -122.43778)"
118-24050,-,0,Grey,SS,N,N,SFMTA,ON,0,2405,18TH AVE,846000,Area 3, ,"(37.7428, -122.47467)"
700-02290,-,0,Grey,SS,N,N,SFMTA,ON,0,229,VALENCIA ST,13055000,Area 3, ,"(37.76909, -122.42218)"
500-07040,-,0,Grey,SS,N,N,SFMTA,ON,0,704,JACKSON ST,7373000,Area 2, ,"(37.79604, -122.40684)"
440-51230,-,0,Grey,SS,N,N,SFMTA,ON,0,5123,GEARY BLVD,6072101,Area 3, ,"(37.78041, -122.47481)"
472-09190,-,0,Grey,SS,N,N,SFMTA,ON,0,919,HYDE ST,7124000,Area 3, ,"(37.7896, -122.41719)"
384-18260,-,0,Grey,SS,N,N,SFMTA,ON,0,1826,DIVISADERO ST,4815201,Area 3, ,"(37.78689, -122.44009)"
660-00050,-,0,Grey,SS,N,N,SFMTA,ON,0,5,SANTA ROSA AVE,11589000,Area 3, ,"(37.72583, -122.43423)"
440-22370,-,0,Grey,SS,N,N,SFMTA,ON,0,2237,GEARY BLVD,6044101,Area 3, ,"(37.78299, -122.44089)"
666-13080,-,0,Grey,SS,N,N,SFMTA,ON,0,1308,SUTTER ST,12331000,Area 3, ,"(37.78754, -122.42231)"
666-13350,-,0,Grey,SS,N,N,SFMTA,ON,0,1335,SUTTER ST,12331000,Area 3, ,"(37.78731, -122.42317)"
612-24380,-,0,Yellow,SS,N,N,SFMTA,ON,0,2438,POLK ST,10580000,Area 3, ,"(37.79959, -122.42243)"
720-17030,-,0,Yellow,SS,N,N,SFMTA,ON,0,1703,WASHINGTON ST,13432000,Area 3, ,"(37.79319, -122.42137)"
324-06360,-,0,Grey,SS,N,N,SFMTA,ON,0,636,BATTERY ST,2761000,Area 2, ,"(37.79742, -122.40074)"
412-00370,-,0,Grey,SS,N,N,SFMTA,ON,0,37,FERN ST,5482000,Area 3, ,"(37.78826, -122.41969)"
462-16100,-,0,Grey,SS,N,N,SFMTA,ON,0,1610,HAIGHT ST,6620000,Area 3, ,"(37.7698, -122.44903)"
700-14280,-,0,Grey,SS,Y,N,SFMTA,ON,0,1428,VALENCIA ST,13074000,Area 3, ,"(37.74963, -122.42053)"
700-03540,-,0,Grey,SS,N,N,SFMTA,ON,0,354,VALENCIA ST,13057002,Area 3, ,"(37.76667, -122.42216)"
568-10240,-,0,Grey,SS,N,N,SFMTA,ON,0,1024,MISSION ST,9100000,Area 2, ,"(37.78053, -122.40939)"
720-16400,-,0,Grey,SS,N,N,SFMTA,ON,0,1640,WASHINGTON ST,13431000,Area 3, ,"(37.7934, -122.42055)"
207-02440,-,0,Yellow,SS,N,N,SFMTA,ON,0,244,07TH ST,371000,Area 2, ,"(37.77715, -122.4085)"
720-08290,-,0,Grey,SS,N,N,SFMTA,ON,0,829,WASHINGTON ST,13416000,Area 2, ,"(37.79498, -122.40745)"
818-01630,818-01001,63,Grey,MS,Y,Y,PORT,ON,0,163,BRANNAN ST,3071000,Port 10, ,"(37.78413, -122.38904)"
502-04030,-,0,Grey,SS,N,N,SFMTA,ON,0,403,JONES ST,7567000,Area 2, ,"(37.78503, -122.41289)"
568-32240,-,0,Yellow,SS,N,N,SFMTA,ON,0,3224,MISSION ST,9133000,Area 3, ,"(37.74496, -122.42041)"
568-33190,-,0,Grey,SS,N,N,SFMTA,ON,0,3319,MISSION ST,9134000,Area 3, ,"(37.74354, -122.42109)"
568-13320,-,0,Grey,SS,N,N,SFMTA,ON,0,1332,MISSION ST,9106000,Area 2, ,"(37.77567, -122.41554)"
591-15110,-,0,Grey,SS,N,N,SFMTA,ON,0,1511,OCEAN AVE,9826101,Area 3, ,"(37.7243, -122.45858)"
611-03390,-,0,Grey,SS,N,N,SFMTA,ON,0,339,PARNASSUS AVE,10292001,Area 3, ,"(37.76397, -122.45585)"
490-07100,-,0,Grey,SS,N,N,SFMTA,ON,0,710,IRVING ST,7285000,Area 3, ,"(37.76414, -122.4657)"
401-06130,-,0,Grey,SS,N,N,SFMTA,ON,0,613,ELLIS ST,5177000,Area 3, ,"(37.78432, -122.41657)"
542-07020,-,0,Yellow,SS,N,N,SFMTA,ON,0,702,LARKIN ST,8128000,Area 3, ,"(37.78442, -122.41767)"
401-02240,-,0,Red,SS,N,N,SFMTA,ON,0,224,ELLIS ST,5172000,Area 1, ,"(37.78523, -122.41039)"
612-19380,-,0,Grey,SS,N,N,SFMTA,ON,0,1938,POLK ST,10574000,Area 3, ,"(37.79493, -122.42149)"
612-14060,-,0,Grey,SS,N,N,SFMTA,ON,0,1406,POLK ST,10569000,Area 3, ,"(37.78986, -122.42046)"
324-09341,324-09341,1,Black,MS,N,N,SFMTA,ON,0,934,BATTERY ST,2764000,MC3, ,"(37.80029, -122.40131)"
440-56260,-,0,Green,SS,N,N,SFMTA,ON,0,5626,GEARY BLVD,6077201,Area 3, ,"(37.78043, -122.48027)"
680-04130,-,0,Yellow,SS,N,N,SFMTA,ON,0,413,TARAVAL ST,12390000,Area 3, ,"(37.74319, -122.47071)"
321-02050,-,0,Grey,SS,N,N,SFMTA,ON,0,205,BALBOA ST,2647000,Area 3, ,"(37.7773, -122.46107)"
462-05190,-,0,Yellow,SS,N,N,SFMTA,ON,0,519,HAIGHT ST,6608000,Area 3, ,"(37.77196, -122.43109)"
360-20010,-,0,Grey,SS,N,N,SFMTA,ON,0,2001,CLEMENT ST,4171000,Area 3, ,"(37.78214, -122.48072)"
352-05230,-,0,Grey,SS,N,N,SFMTA,ON,0,523,CASTRO ST,3791000,Area 3, ,"(37.76012, -122.43483)"
440-43190,-,0,Grey,SS,N,Y,SFMTA,ON,0,4319,GEARY BLVD,6063101,Area 3, ,"(37.7808, -122.46608)"
229-00430,-,0,Grey,SS,N,N,SFMTA,ON,0,43,29TH ST,1629000,Area 3, ,"(37.74391, -122.42235)"
657-25370,-,0,Grey,SS,N,N,SFMTA,ON,0,2537,SAN BRUNO AVE,11376000,Area 3, ,"(37.7295, -122.40428)"
303-06050,-,0,Grey,SS,N,N,SFMTA,ON,0,605,ASHBURY ST,2513000,Area 3, ,"(37.76973, -122.44695)"
335-00200,-,0,Grey,SS,N,N,SFMTA,ON,0,20,BURROWS ST,3404000,Area 3, ,"(37.72896, -122.40382)"
616-13170,-,0,Grey,SS,N,N,SFMTA,ON,0,1317,POWELL ST,10692000,Area 3, ,"(37.79697, -122.41026)"
327-06120,-,0,Grey,SS,N,N,SFMTA,ON,0,612,BROADWAY,3154000,Area 3, ,"(37.79784, -122.40755)"
657-26240,-,0,Grey,SS,N,N,SFMTA,ON,0,2624,SAN BRUNO AVE,11377000,Area 3, ,"(37.72815, -122.40389)"
490-20130,-,0,Grey,SS,N,N,SFMTA,ON,0,2013,IRVING ST,7298000,Area 3, ,"(37.76338, -122.47966)"
363-01130,-,0,Grey,SS,N,N,SFMTA,ON,0,113,COLUMBUS AVE,4288000,Area 2, ,"(37.79641, -122.40472)"
444-12120,-,0,Grey,SS,N,N,SFMTA,ON,0,1212,GRANT AVE,6402000,Area 3, ,"(37.79858, -122.40711)"
725-00370,-,0,Grey,SS,N,Y,SFMTA,ON,0,37,WEST PORTAL AVE,13577101,Area 3, ,"(37.74013, -122.46636)"
500-08020,-,0,Yellow,SS,N,N,SFMTA,ON,0,802,JACKSON ST,7379000,Area 3, ,"(37.79585, -122.40841)"
705-07020,-,0,Grey,SS,N,N,SFMTA,ON,0,702,VALLEJO ST,13095000,Area 3, ,"(37.7986, -122.40902)"
606-16220,-,0,Grey,SS,N,N,SFMTA,ON,0,1622,PINE ST,10478000,Area 3, ,"(37.78937, -122.423)"
614-11140,-,0,Grey,SS,N,N,SFMTA,ON,0,1114,POST ST,10640000,Area 3, ,"(37.78681, -122.42048)"
847-00330,-,0,Grey,SS,Y,Y,PORT,ON,0,33,JEFFERSON ST,7455000,Port 1, ,"(37.80843, -122.41364)"
365-07110,-,0,Green,SS,N,N,SFMTA,ON,0,711,CORTLAND AVE,4428000,Area 3, ,"(37.73895, -122.41482)"
357-06910,-,0,Grey,SS,N,N,SFMTA,ON,0,691,CHENERY ST,3926000,Area 3, ,"(37.73445, -122.43354)"
650-34290,-,0,Grey,SS,N,N,SFMTA,ON,0,3429,SACRAMENTO ST,11266000,Area 3, ,"(37.78778, -122.44975)"
657-27360,-,0,Grey,SS,N,N,SFMTA,ON,0,2736,SAN BRUNO AVE,11378000,Area 3, ,"(37.72651, -122.40321)"
725-00430,-,0,Grey,SS,N,Y,SFMTA,ON,0,43,WEST PORTAL AVE,13577101,Area 3, ,"(37.74003, -122.46646)"
102-03890,-,0,Green,SS,N,Y,SFMTA,ON,0,389,02ND AVE,122000,Area 3, ,"(37.78165, -122.4601)"
108-04040,-,0,Grey,SS,N,N,SFMTA,ON,0,404,08TH AVE,390000,Area 3, ,"(37.78072, -122.46634)"
568-17240,-,0,Yellow,SS,Y,N,SFMTA,ON,0,1724,MISSION ST,9112201,Area 3, ,"(37.76923, -122.42016)"
700-02320,-,0,Grey,SS,N,N,SFMTA,ON,0,232,VALENCIA ST,13055000,Area 3, ,"(37.76894, -122.42238)"
563-00130,-,0,Grey,SS,N,N,SFMTA,ON,0,13,MCALLISTER ST,8888000,Area 2, ,"(37.78101, -122.41259)"
701-19020,-,0,Green,SS,N,N,SFMTA,ON,0,1902,VAN NESS AVE,13161201,Area 3, ,"(37.79321, -122.42274)"
462-15310,-,0,Grey,SS,N,N,SFMTA,ON,0,1531,HAIGHT ST,6619000,Area 3, ,"(37.76982, -122.44793)"
440-51120,-,0,Grey,SS,N,N,SFMTA,ON,0,5112,GEARY BLVD,6072201,Area 3, ,"(37.7807, -122.47442)"
654-06040,-,0,Grey,SS,N,N,SFMTA,ON,0,604,SHRADER ST,11856000,Area 3, ,"(37.76925, -122.45177)"
521-00050,-,0,Grey,SS,N,N,SFMTA,ON,0,5,KIRKHAM ST,7842000,Area 3, ,"(37.76048, -122.46073)"
542-10110,-,0,Green,SS,N,N,SFMTA,ON,0,1011,LARKIN ST,8134000,Area 3, ,"(37.78742, -122.41843)"
336-11190,-,0,Grey,SS,N,N,SFMTA,ON,0,1119,BUSH ST,3441000,Area 3, ,"(37.78917, -122.41604)"
664-09110,-,0,Grey,SS,N,N,SFMTA,ON,0,911,STOCKTON ST,12205000,Area 2, ,"(37.79439, -122.40806)"
440-09200,-,0,Yellow,SS,N,N,SFMTA,ON,0,920,GEARY ST,6117000,Area 3, ,"(37.78606, -122.41889)"
687-00630,-,0,Black,SS,N,N,SFMTA,ON,0,63,TAPIA DR,12375000,MC3, ,"(37.72163, -122.48058)"
594-01030,-,0,Grey,SS,N,N,SFMTA,ON,0,103,OLIVE ST,9919000,Area 3, ,"(37.78445, -122.41964)"
210-01170,-,0,Grey,SS,N,N,SFMTA,ON,0,117,10TH ST,484000,Area 2, ,"(37.77495, -122.41536)"
440-56170,-,0,Grey,SS,N,N,SFMTA,ON,0,5617,GEARY BLVD,6077101,Area 3, ,"(37.78017, -122.47999)"
462-16180,-,0,Grey,SS,N,N,SFMTA,ON,0,1618,HAIGHT ST,6620000,Area 3, ,"(37.76977, -122.44925)"
209-00050,-,0,Grey,SS,N,N,SFMTA,ON,0,5,09TH ST,446000,Area 2, ,"(37.77735, -122.41597)"
569-22460,-,0,Grey,SS,N,N,SFMTA,ON,0,2246,MARKET ST,8766201,Area 3, ,"(37.76495, -122.43238)"
600-15250,-,0,Green,SS,N,N,SFMTA,ON,0,1525,PACIFIC AVE,10146000,Area 3, ,"(37.79507, -122.42081)"
680-08070,-,0,Grey,SS,N,N,SFMTA,ON,0,807,TARAVAL ST,12394000,Area 3, ,"(37.743, -122.475)"
725-03440,-,0,Grey,SS,N,Y,SFMTA,ON,0,344,WEST PORTAL AVE,13579201,Area 3, ,"(37.7374, -122.46992)"
725-03800,-,0,Green,SS,N,Y,SFMTA,ON,0,380,WEST PORTAL AVE,13579201,Area 3, ,"(37.73688, -122.47049)"
208-00550,-,0,Grey,SS,N,N,SFMTA,ON,0,55,08TH ST,405000,Area 2, ,"(37.77772, -122.41334)"
365-03150,-,0,Grey,SS,N,N,SFMTA,ON,0,315,CORTLAND AVE,4423000,Area 3, ,"(37.73926, -122.41805)"
700-01450,-,0,Grey,SS,N,N,SFMTA,ON,0,145,VALENCIA ST,13053000,Area 3, ,"(37.77044, -122.42231)"
211-00360,-,0,Grey,SS,N,N,SFMTA,ON,0,36,11TH ST,508000,Area 2, ,"(37.77477, -122.41782)"
568-33110,-,0,Grey,SS,N,N,SFMTA,ON,0,3311,MISSION ST,9134000,Area 3, ,"(37.74376, -122.42095)"
568-12240,-,0,Grey,SS,N,N,SFMTA,ON,0,1224,MISSION ST,9103000,Area 2, ,"(37.77699, -122.41387)"
401-01370,-,0,Grey,SS,N,N,SFMTA,ON,0,137,ELLIS ST,5171000,Area 1, ,"(37.78529, -122.409)"
593-05440,-,0,Red,SS,N,N,SFMTA,ON,0,544,OFARRELL ST,9729000,Area 3, ,"(37.78566, -122.41446)"
691-17440,-,0,Grey,SS,N,Y,SFMTA,ON,0,1744,UNION ST,12866000,Area 3, ,"(37.79801, -122.42873)"
680-04030,-,0,Grey,SS,N,N,SFMTA,ON,0,403,TARAVAL ST,12390000,Area 3, ,"(37.7432, -122.47044)"
680-04240,-,0,Grey,SS,N,N,SFMTA,ON,0,424,TARAVAL ST,12390000,Area 3, ,"(37.74333, -122.47107)"
440-46190,-,0,Grey,SS,N,Y,SFMTA,ON,0,4619,GEARY BLVD,6066101,Area 3, ,"(37.78066, -122.46929)"
502-08220,-,0,Grey,SS,N,N,SFMTA,ON,0,822,JONES ST,7575000,Area 2, ,"(37.78929, -122.4136)"
700-16010,-,0,Grey,SS,N,N,SFMTA,ON,0,1601,VALENCIA ST,13076000,Area 3, ,"(37.74794, -122.42015)"
210-02180,-,0,Grey,SS,N,N,SFMTA,ON,0,218,10TH ST,487000,Area 2, ,"(37.7736, -122.41395)"
666-23250,-,0,Grey,SS,N,N,SFMTA,ON,0,2325,SUTTER ST,12342000,Area 3, ,"(37.78531, -122.43899)"
831-05460,831-05006,46,Grey,MS,Y,Y,PORT,ON,0,546,THE EMBARCADERO,12548101,Port 9, ,"(37.7857, -122.38818)"
830-06520,-,0,Grey,SS,Y,N,PORT,ON,0,652,THE EMBARCADERO,12556102,Port 3, ,"(37.80242, -122.40074)"
419-15200,-,0,Red,SS,N,N,SFMTA,ON,0,1520,FRANKLIN ST,5824000,Area 3, ,"(37.78884, -122.42362)"
440-56120,-,0,Yellow,SS,N,N,SFMTA,ON,0,5612,GEARY BLVD,6077201,Area 3, ,"(37.78045, -122.4799)"
680-05030,-,0,Grey,SS,N,N,SFMTA,ON,0,503,TARAVAL ST,12391000,Area 3, ,"(37.74315, -122.47155)"
471-28030,-,0,Grey,SS,N,N,SFMTA,ON,0,2803,HARRISON ST,6757000,Area 3, ,"(37.75248, -122.41179)"
218-41250,-,0,Grey,SS,N,N,SFMTA,ON,0,4125,18TH ST,892000,Area 3, ,"(37.76078, -122.43587)"
826-06290,826-06001,29,Grey,MS,Y,N,PORT,ON,0,629,DELANCEY ST,117000,Port 10, ,"(37.78343, -122.38947)"
830-03380,-,0,Grey,SS,Y,N,PORT,ON,0,338,THE EMBARCADERO,12554101,Port 5, ,"(37.79878, -122.3975)"
914-00130,-,0,Grey,SS,N,N,SFMTA,OFF,914,2500,OCEAN AVE,9847000,Area 3, ,"(37.73159, -122.47221)"
593-05150,-,0,Grey,SS,N,N,SFMTA,ON,0,515,OFARRELL ST,9729000,Area 3, ,"(37.78567, -122.41355)"
224-29680,-,0,Grey,SS,N,N,SFMTA,ON,0,2968,24TH ST,1335000,Area 3, ,"(37.7527, -122.41164)"
440-46110,-,0,Grey,SS,N,Y,SFMTA,ON,0,4611,GEARY BLVD,6066101,Area 3, ,"(37.78067, -122.46906)"
327-06380,-,0,Grey,SS,N,N,SFMTA,ON,0,638,BROADWAY,3154000,Area 3, ,"(37.79776, -122.40823)"
650-33350,-,0,Grey,SS,N,N,SFMTA,ON,0,3335,SACRAMENTO ST,11265000,Area 3, ,"(37.78796, -122.44838)"
650-35430,-,0,Green,SS,N,N,SFMTA,ON,0,3543,SACRAMENTO ST,11267000,Area 3, ,"(37.78753, -122.45175)"
440-08401,440-08400,1,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3, ,"(37.78621, -122.41773)"
700-01400,-,0,Grey,SS,N,N,SFMTA,ON,0,140,VALENCIA ST,13053000,Area 3, ,"(37.77054, -122.42254)"
705-06250,-,0,Yellow,SS,N,N,SFMTA,ON,0,625,VALLEJO ST,13094000,Area 3, ,"(37.79861, -122.40813)"
422-08560,-,0,Black,SS,N,N,SFMTA,ON,0,856,FRONT ST,5874000,MC3, ,"(37.79959, -122.39998)"
664-07270,-,0,Grey,SS,N,N,SFMTA,ON,0,727,STOCKTON ST,12203000,Area 2, ,"(37.79285, -122.40772)"
664-08260,-,0,Yellow,SS,N,N,SFMTA,ON,0,826,STOCKTON ST,12204000,Area 2, ,"(37.79392, -122.4078)"
724-01090,-,0,Grey,SS,N,N,SFMTA,ON,0,109,WILLOW ST,13663000,Area 3, ,"(37.7835, -122.41963)"
120-04010,-,0,Green,SS,N,N,SFMTA,ON,0,401,20TH AVE,1001000,Area 3, ,"(37.7801, -122.47943)"
365-09060,-,0,Grey,SS,N,N,SFMTA,ON,0,906,CORTLAND AVE,4430000,Area 3, ,"(37.73889, -122.41371)"
490-20200,-,0,Yellow,SS,N,N,SFMTA,ON,0,2020,IRVING ST,7298000,Area 3, ,"(37.76351, -122.48002)"
840-22070,-,0,Grey,SS,Y,N,PORT,ON,0,2207,GRANT AVE,6418000,Port 2, ,"(37.80745, -122.409)"
546-02250,-,0,Grey,SS,N,N,SFMTA,ON,0,225,LEAVENWORTH ST,8240000,Area 2, ,"(37.78358, -122.41429)"
